timestamp,input_id,cpu_raw_before,cpu_ema_before,mem_raw_before,mem_ema_before,temp_before,cpu_raw_after,cpu_ema_after,mem_raw_after,mem_ema_after,temp_after,chosen_action,model_used,predicted_class,label,confidence,latency_ms,ground_truth,reward
1783836300.1663978,0,4.1,4.1,43.5,43.5,47.85,4.0,4.069999999999999,43.6,43.53,47.85,0,fp32,0,tench,0.762,9.32,tench,0.9068
1783836303.4749746,1,3.5,3.898999999999999,43.4,43.491,47.85,2.5,3.4792999999999994,43.4,43.463699999999996,47.85,0,fp32,0,tench,0.8943,9.07,tench,0.9093
1783836306.7883303,2,3.0,3.3355099999999993,43.5,43.47458999999999,47.85,2.5,3.0848569999999995,43.4,43.45221299999999,47.85,0,fp32,0,tench,0.9366,11.94,tench,0.8806
1783836310.099007,3,2.5,2.9093998999999995,43.3,43.40654909999999,47.85,3.0,2.9365799299999993,43.3,43.374584369999994,47.85,0,fp32,0,tench,0.9557,10.08,tench,0.8992
1783836313.4072738,4,3.0,2.9556059509999995,43.2,43.322209058999995,47.85,2.5,2.8189241656999995,43.2,43.28554634129999,47.85,0,fp32,0,tench,0.8085,7.75,tench,0.9225
1783836316.7207708,5,7.0,4.0732469159899996,43.2,43.25988243891,47.85,2.0,3.4512728411929996,43.2,43.24191770723699,47.85,0,fp32,217,English springer,0.2901,10.34,English springer,0.8966
1783836320.0305657,6,1.5,2.8658909888350994,42.5,43.01934239506589,47.85,3.0,2.9061236921845692,42.5,42.863539676546125,47.85,0,fp32,217,English springer,0.3843,11.35,English springer,0.8865
1783836323.3444176,7,3.5,3.084286584529198,42.4,42.72447777358228,47.85,2.0,2.7590006091704384,42.5,42.657134441507594,47.85,0,fp32,217,English springer,0.0751,9.65,English springer,0.9035
1783836326.6519685,8,3.5,2.981300426419307,42.4,42.57999410905531,47.85,5.1,3.6169102984935146,42.5,42.55599587633871,47.85,0,fp32,215,Brittany spaniel,0.1431,9.02,English springer,-0.0902
1783836329.965152,9,1.5,2.9818372089454597,42.5,42.5391971134371,47.85,2.5,2.8372860462618217,42.5,42.52743797940597,47.85,0,fp32,217,English springer,0.5382,9.97,English springer,0.9003
1783836333.2693458,10,4.1,3.216100232383275,42.9,42.639206585584176,47.85,6.1,4.081270162668292,43.0,42.747444609908925,48.85,0,fp32,482,cassette player,0.5997,8.74,cassette player,0.9126
1783836336.5878592,11,3.0,3.756889113867804,42.7,42.73321122693625,48.85,2.5,3.3798223797074627,42.7,42.72324785885537,48.85,0,fp32,848,tape player,0.7176,9.72,cassette player,-0.09720000000000001
1783836339.911362,12,1.0,2.6658756657952236,42.4,42.62627350119875,48.85,2.0,2.4661129660566563,42.4,42.558391450839125,48.85,0,fp32,482,cassette player,0.5429,15.66,cassette player,0.8433999999999999
1783836343.2215972,13,3.0,2.6262790762396593,42.4,42.51087401558738,48.85,3.5,2.8883953533677613,42.4,42.477611810911164,48.85,0,fp32,482,cassette player,0.1619,8.97,cassette player,0.9103
1783836346.5339332,14,3.5,3.0718767473574324,42.3,42.42432826763781,48.85,2.5,2.9003137231502025,42.3,42.387029787346464,48.85,0,fp32,818,spotlight,0.4148,9.18,cassette player,-0.09179999999999999
1783836349.847849,15,41.1,14.360219606205142,42.7,42.48092085114252,48.85,45.5,23.7021537243436,42.7,42.54664459579976,48.85,0,fp32,795,ski,0.2617,20.87,chain saw,-0.20870000000000002
1783836353.1634152,16,49.8,31.531507607040517,42.6,42.56265121705983,48.85,47.0,36.17205532492836,42.6,42.57385585194188,48.85,0,fp32,491,chain saw,0.7581,22.74,chain saw,0.7726
1783836356.473174,17,41.7,37.83043872744985,42.6,42.581699096359316,48.85,42.0,39.0813071092149,42.6,42.587189367451515,48.85,0,fp32,802,snowmobile,0.0861,22.59,chain saw,-0.2259
1783836359.7797592,18,41.5,39.80691497645043,42.5,42.56103255721606,48.85,40.7,40.0748404835153,42.5,42.54272279005124,48.85,0,fp32,491,chain saw,0.6289,22.4,chain saw,0.776
1783836363.0923655,19,41.5,40.502388338460705,42.5,42.529905953035865,48.85,42.5,41.10167183692249,42.5,42.520934167125105,48.85,0,fp32,491,chain saw,0.3559,22.95,chain saw,0.7705
1783836366.4040487,20,41.7,41.28117028584574,42.6,42.54465391698757,48.85,41.5,41.346819200092014,42.6,42.561257741891296,48.85,0,fp32,554,fireboat,0.1381,23.13,church,-0.2313
1783836369.7158835,21,41.8,41.482773440064406,42.6,42.5728804193239,48.85,41.0,41.33794140804508,42.7,42.61101629352673,48.85,0,fp32,663,monastery,0.3477,22.97,church,-0.2297
1783836373.0262928,22,41.3,41.32655898563156,42.1,42.45771140546871,48.85,41.9,41.498591289942084,42.1,42.350397983828096,48.85,0,fp32,497,church,0.518,22.97,church,0.7703
1783836376.3400614,23,41.8,41.58901390295945,42.0,42.24527858867967,48.85,41.7,41.622309732071614,42.0,42.171695012075766,48.85,0,fp32,406,altar,0.7162,23.72,church,-0.2372
